timestamp,x,y,z,r
25748000,0.20450847355,2.84765480707,3.68156502,
25858000,0.2232997741,2.9533136046,3.72105379,
25968000,0.25516314363,3.07213681403,3.75842857,
26108000,0.28915978957599997,3.23404678618,3.80944827,
26228000,0.3242541472,3.3669386255,3.84878085,
26336800,0.3472121189,3.48381044275,3.88624986,
26438000,0.3725537272,3.5925054126,3.92201145,
26558000,0.4155248331,3.7248842914,3.96040413,
26668000,0.44433291340000003,3.84696167215,3.99990066,
26788000,0.4808135206,3.98426242578,4.04234231,
26918000,0.5262126849,4.12784670754,4.08345498,
27028000,0.5553663953,4.2478826533000005,4.12010431,
27138000,0.5869293936000001,4.3684873486,4.15580426,
27256800,0.6274195878,4.495230484,4.19065069,
27366800,0.6711255828,4.613664629,4.22376051,
27496000,0.712207972,4.7545176427,4.26260674,
27596800,0.74743487,4.8616635614,4.29303799,
27736800,0.811263548,5.0253842835,4.33655397,
27846800,0.850438194,5.140837852,4.36707092,
27948000,0.889270938,5.253303803,4.39713029,
28046800,0.927057509,5.364462216,4.4263172399999995,
28198000,0.9962798343,5.543701007,4.4696080700000005,
28306800,1.0466819252,5.6703496840000005,4.5003860200000005,
28406800,1.089272803,5.7862742806,4.52824521,
28546800,1.149872548,5.94692176,4.56596052,
28646800,1.1949104583999999,6.063352013,4.59440153,
28778000,1.2611958193000001,6.216475792,4.62872625,
28888000,1.3164652947,6.349470734,4.66010466,
28996800,1.3676027236,6.474308613,4.68804383,
29106800,1.4179202953999999,6.59870686,4.71585082,
29228000,1.489404189,6.744195294,4.7488678,
29348000,1.556352044,6.891869818,4.78361978,
29466800,1.611907969,7.020536385,4.81085858,
29578000,1.676251389,7.153481238,4.8402558099999995,
29686800,1.7391211069999999,7.2848449660000005,4.87068484,
29828000,1.821947503,7.44582608,4.90229413,
29926800,1.879478516,7.56508142,4.92769541,
30026000,1.938972346,7.68502326,4.95283769,
30146800,2.008019382,7.828961385,4.98199029,
30276000,2.089719593,7.97861082,5.01125568,
30396800,2.161235086,8.119214509999999,5.038991129999999,
30506800,2.23357408,8.25287573,5.06641314,
30616800,2.29769484,8.37810576,5.09069549,
30746000,2.37774392,8.52578243,5.11702063,
30856800,2.448973676,8.65921491,5.14314994,
30966800,2.524526517,8.78876831,5.16847641,
31098000,2.599416616,8.93286508,5.1925900799999996,
31196800,2.660483817,9.04848111,5.2141141,
31318000,2.7341100695,9.18619431,5.2375846600000004,
31438000,2.793112074,9.31545457,5.2580476,
31538000,2.8522442329,9.43054251,5.27813037,
31658000,2.9212898582,9.56642423,5.30049443,
31798000,3.00707076,9.72399524,5.32389145,
31908000,3.062814054,9.84446719,5.34290649,
32028000,3.126085152,9.97862058,5.36436606,
32128000,3.178624353,10.0906855,5.3822975,
32248000,3.237699128,10.22384674,5.40429235,
32376800,3.2878956475,10.35661435,5.42204141,
32486800,3.339466097,10.47279677,5.43888608,
32596800,3.3903205545,10.58956701,5.45503995,
32716800,3.4292218628,10.70883537,5.46951746,
32846800,3.478554091,10.83455037,5.4848486,
32956800,3.51300741542,10.94445819,5.49782106,
33056800,3.5489855835,11.04260073,5.51078129,
33187200,3.5954210509999998,11.16615093,5.52530843,
33306000,3.627240189,11.27836224,5.53763209,
33428000,3.664703649,11.38917579,5.55083872,
33538000,3.694756145,11.48932216,5.56275149,
33646000,3.7211146,11.59157706,5.5729861000000005,
33757200,3.74996369,11.69206216,5.58361508,
33878000,3.7802989940000002,11.79754945,5.59483191,
34007200,3.805475618,11.91586667,5.60514743,
34106000,3.831039383,12.0071569,5.61484853,
34226000,3.855026194,12.11755268,5.62370741,
34357200,3.883056903,12.23667885,5.63430583,
34467200,3.90824761,12.33481076,5.64395474,
34588000,3.93077548,12.4463394,5.65245219,
34686000,3.95239215,12.53669466,5.66020317,
34806000,3.9725417100000002,12.6458408,5.66794873,
34926800,3.99371862,12.75817012,5.67480248,
35036800,4.0159838,12.8554383,5.6819078,
35158000,4.03572142,12.96351193,5.68914136,
35286800,4.05371847,13.080816,5.6949619899999995,
35398000,4.07477322,13.1803882,5.7009544299999995,
35516800,4.0904770500000005,13.2911083,5.70539651,
35626800,4.10720641,13.393175939999999,5.70983468,
35726000,4.12500362,13.48406205,5.71467393,
35856000,4.13996338,13.60146633,5.71956554,
35976800,4.15778463,13.70786436,5.7252596,
36086000,4.17132206,13.80996275,5.72978826,
36196800,4.1837783,13.9123707,5.73452392,
36317200,4.19651571,14.018950499999999,5.7395838,
36428000,4.20803385,14.1233489,5.74407192,
36556000,4.21813166,14.236647099999999,5.74945219,
36677200,4.2296323000000005,14.3440247,5.7547646199999996,
36796800,4.23734435,14.4579464,5.75999035,
36907200,4.24448117,14.5638789,5.7634802,
37017200,4.25314527,14.6654165,5.76794747,
37127200,4.2583294800000004,14.7716232,5.77179465,
37237200,4.26394974,14.8784735,5.77470765,
37358000,4.2691925,14.99139755,5.77847274,
37486800,4.27244431,15.1116175,5.78254758,
37597200,4.27544096,15.2156211,5.78568263,
37718000,4.27944501,15.3323097,5.78830557,
37835600,4.2780281,15.4503924,5.7912799,
37936800,4.28095379,15.54842665,5.79412256,
38076800,4.27598289,15.6910182,5.79663827,
38176800,4.27721691,15.7893381,5.79881083,
38295600,4.2746025,15.90450765,5.80047787,
38407600,4.27199263,16.020098700000002,5.8031416,
38518400,4.26816715,16.1333701,5.80414919,
38637600,4.26304883,16.2504183,5.80613433,
38767600,4.2567901599999995,16.3821074,5.80913117,
38887600,4.24890904,16.5021738,5.81011481,
38995600,4.23997438,16.61462,5.8114856,
39125600,4.22588576,16.7489175,5.81327456,
39227600,4.2173609800000005,16.8523367,5.81448682,
39356800,4.20082865,16.9923276,5.81525043,
39468400,4.18920285,17.1068224,5.81580519,
39567600,4.17904341,17.2082155,5.81610054,
39686800,4.16456154,17.3362809,5.81630328,
39807600,4.14882698,17.4663061,5.81610913,
39927600,4.13357634,17.5882032,5.8158087,
40047600,4.11961826,17.7154417,5.81659486,
40166800,4.10344115,17.8453313,5.81590881,
40277600,4.08925737,17.9624843,5.81502685,
40397600,4.07231974,18.0956202,5.81397526,
40497600,4.05915804,18.20208835,5.81335543,
40617600,4.04164615,18.3382043,5.81385755,
40737600,4.02367285,18.4686341,5.81265558,
40847600,4.00722519,18.5901054,5.81162209,
40976800,3.98775389,18.7411178,5.8108135700000005,
41086400,3.97202565,18.8625979,5.80882835,
41207600,3.9519369199999996,18.9968587,5.80589016,
41327600,3.9329858,19.13620965,5.80340783,
41436800,3.91437562,19.2598794,5.80179087,
41547600,3.89572613,19.384231,5.79894019,
41667600,3.87521908,19.5238791,5.7962554,
41787200,3.8521656600000003,19.6581942,5.79412056,
